code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
688110,东芯股份,BK1137,1.92,0.0,1.92,48.41,448.09,663,7.13,56159809787.0
000620,盈新发展,BK1137,4.87,2.3,4.26,12.37,58.77,399,0.95,18789808128.0
002413,雷科防务,BK1137,42.09,3.5,38.41,56.69,125.79,427,-1.66,13325341323.0
688525,佰维存储,BK1137,34.45,5.0,31.09,171.81,585.08,397,3.73,141125753141.0
603690,至纯科技,BK1137,26.82,9.1,13.57,67.82,182.32,605,3.54,10294079040.0
301308,江波龙,BK1137,37.74,9.8,28.21,95.73,663.62,728,4.37,214187326624.0
002049,紫光国微,BK1137,35.99,16.1,16.27,60.66,179.02,731,3.77,61700008017.0
001309,德明利,BK1137,32.51,17.1,18.75,52.2,2150.31,1066,4.71,139691556196.0
688380,中微半导,BK1137,54.23,19.9,17.31,79.5,260.53,1039,4.37,17035530750.0
000016,*ST康佳A,BK1137,10.54,26.7,1.44,23.19,130.66,371,0.98,7440551311.0
688126,沪硅产业,BK1137,184.82,27.5,89.76,315.62,844.31,385,20.01,104868392260.0
002409,雅克科技,BK1137,49.93,29.3,27.91,62.56,380.95,731,3.38,51966543161.0
300604,长川科技,BK1137,80.83,29.8,34.01,100.09,2042.19,835,5.12,133646625225.0
001287,中电港,BK1137,53.94,29.9,43.58,57.26,77.07,1155,0.28,19369853473.0
001298,好上好,BK1137,73.9,31.2,21.32,101.3,277.62,1316,0.9,8771384468.0
300475,香农芯创,BK1137,40.27,32.8,22.42,47.5,351.34,731,1.95,76173760860.0
002077,大港股份,BK1137,118.5,36.7,18.96,207.73,981.99,532,3.61,9320397119.0
301592,六九一二,BK1137,119.34,38.4,72.27,127.09,167.5,593,6.13,7213500000.0
300223,北京君正,BK1137,116.19,40.6,30.66,189.49,5465.96,731,0.24,72365862591.0
688019,安集科技,BK1137,55.27,40.9,29.38,63.96,290.98,838,8.03,49112177237.0
300236,上海新阳,BK1137,77.93,41.4,21.54,86.59,2043.01,691,6.98,29445387096.0
688449,联芸科技,BK1137,171.14,42.9,122.97,178.31,273.03,557,2.06,30709600000.0
300903,科翔股份,BK1137,66.37,45.3,37.38,69.54,157.48,450,4.08,30180996547.0
300975,商络电子,BK1137,54.66,45.7,17.27,60.01,262.32,938,1.35,28964156265.0
688727,恒坤新材,BK1137,230.76,48.3,197.57,232.61,309.35,203,6.94,23476949100.0
002156,通富微电,BK1137,65.33,49.5,18.05,65.79,1564.87,649,2.96,97277962059.0
688012,中微公司,BK1137,91.15,53.8,45.26,87.04,716.47,838,5.02,261228068776.0
300666,江丰电子,BK1137,93.03,54.3,24.92,86.01,316.66,821,13.03,58049512234.0
600206,XD有研新,BK1137,82.23,54.3,34.07,77.11,579.56,731,4.12,24372270428.0
603650,彤程新材,BK1137,54.75,55.9,21.29,48.35,113.64,726,4.52,33459466101.0
300184,力源信息,BK1137,66.82,60.0,12.34,50.61,206.12,662,3.64,18626246860.0
688439,振华风光,BK1137,65.06,61.7,14.38,55.22,123.63,1382,0.52,8928000000.0
603283,赛腾股份,BK1137,32.09,67.1,11.71,28.4,114.18,772,1.38,16519379747.0
300398,飞凯材料,BK1137,56.08,68.1,17.14,38.41,179.22,731,11.19,25059033090.0
002559,亚威股份,BK1137,52.56,68.3,20.12,36.49,3917.54,731,1.13,5415185486.0
688123,聚辰股份,BK1137,65.42,69.6,23.93,51.62,136.54,787,2.74,19824684508.0
688766,普冉股份,BK1137,125.46,70.2,20.58,48.35,724.78,751,7.19,59192991962.0
603986,兆易创新,BK1137,115.61,70.6,18.08,95.73,300.78,717,3.15,342783010343.0
600584,长电科技,BK1137,76.14,70.9,11.2,44.59,755.68,611,6.69,134206092750.0
000021,深科技,BK1137,46.45,71.4,16.34,35.88,123.38,731,4.18,58015526393.0
002185,华天科技,BK1137,68.44,74.3,18.21,43.56,223.27,731,4.11,58126679044.0
301348,蓝箭电子,BK1137,485.23,75.6,81.04,278.03,658.38,809,5.84,5829600000.0
600171,上海贝岭,BK1137,84.58,76.8,14.73,61.27,327.71,671,1.64,18935341423.0
301099,雅创电子,BK1137,57.32,77.3,24.3,45.61,85.48,1659,-2.47,10359003830.0
301306,西测测试,BK1137,1057.82,77.3,38.42,64.28,1667.11,639,-0.06,10665628000.0
688262,国芯科技,BK1137,211.88,79.0,70.8,118.44,320.29,596,0.94,11138397116.0
300857,协创数据,BK1137,59.8,79.5,20.84,44.74,110.9,1072,1.71,106162417898.0
688347,华虹宏力,BK1137,752.95,80.1,18.16,104.27,5253.14,1037,4.68,388892463518.0
688396,华润微,BK1137,91.61,80.5,24.14,63.57,146.4,765,5.88,88007239657.0
300042,朗科科技,BK1137,105.59,81.1,27.66,51.45,382.38,551,0.51,12921792000.0
688709,成都华微,BK1137,306.98,81.8,32.43,128.77,428.3,853,1.38,20111629081.0
300655,晶瑞电材,BK1137,138.15,83.2,34.62,77.98,326.97,644,4.78,16290985599.0
300302,同有科技,BK1137,381.09,83.4,1.0,111.21,9865.0,415,-0.35,23143648805.0
688008,澜起科技,BK1137,107.19,83.7,41.5,79.91,142.66,838,4.24,285787030910.0
301269,华大九天,BK1137,843.43,84.9,167.33,334.28,1109.26,1369,2.75,53327434934.0
000034,神州数码,BK1137,43.29,85.6,9.06,21.87,87.31,714,0.3,23517188405.0
688206,概伦电子,BK1137,851.48,85.9,246.89,390.55,5785.69,889,1.93,17746929643.0
300842,帝科股份,BK1137,150.11,86.6,9.71,61.62,397.97,1047,2.98,11551192366.0
688416,恒烁股份,BK1137,213.94,88.0,23.35,48.03,302.14,242,4.5,9252494903.0
688120,华海清科,BK1137,77.43,88.6,32.59,48.51,144.69,1461,5.28,89473953723.0
002119,康强电子,BK1137,78.25,88.9,19.12,55.87,1457.29,721,2.65,9318301720.0
600667,太极实业,BK1137,68.03,90.0,14.09,28.55,263.97,658,2.14,31916933636.0
002654,万润科技,BK1137,420.25,90.4,21.56,63.77,1301.63,456,3.38,12417494371.0
603316,诚邦股份,BK1137,133.36,91.4,21.21,46.13,164.3,535,4.43,5295850560.0
000670,盈方微,BK1137,6777.4,91.4,55.27,309.76,8524.61,256,1.2,7805261356.0
002935,天奥电子,BK1137,117.78,91.7,36.86,58.13,157.4,709,2.18,7956163050.0
603776,永安行,BK1137,120.64,91.9,4.71,10.57,150.91,518,1.61,5480446365.0
688652,京仪装备,BK1137,130.8,92.2,49.3,69.72,181.61,923,5.27,21823200000.0
301563,云汉芯城,BK1137,125.13,92.9,73.23,91.84,150.47,252,2.91,16743953558.0
688627,精智达,BK1137,367.07,93.2,29.68,85.31,430.58,1057,4.44,36876586893.0
688385,复旦微电,BK1137,176.73,93.3,22.99,67.84,308.02,885,2.86,44439653538.0
688478,晶升股份,BK1137,431.23,93.8,32.11,92.25,516.61,920,9.81,8257688609.0
688328,深科达,BK1137,160.61,94.4,25.81,40.99,199.45,411,3.81,6199166641.0
001389,广合科技,BK1137,71.05,95.4,24.51,36.95,80.1,798,5.69,87703294551.0
002183,怡 亚 通,BK1137,192.7,96.9,17.51,58.24,337.98,678,-3.28,16075486273.0
002579,中京电子,BK1137,392.87,97.0,23.43,45.75,2136.68,525,-2.02,10095954858.0
688135,利扬芯片,BK1137,4273.62,97.1,32.09,99.87,5653.42,714,3.41,7981478940.0
000818,航锦科技,BK1137,198.72,97.7,10.73,54.96,358.56,649,0.08,8533800504.0
300316,晶盛机电,BK1137,144.61,98.1,6.37,43.55,174.1,731,8.24,64861208965.0
300053,航宇微,BK1137,211.18,98.2,44.46,77.24,267.89,381,-2.06,11575082505.0
002213,大为股份,BK1137,4457.5,98.3,116.87,346.07,5410.43,474,2.9,8687198374.0
300672,国科微,BK1137,998.18,98.4,22.95,117.78,1226.36,773,1.53,60990591840.0
688611,杭州柯林,BK1137,223.57,98.7,19.68,50.19,245.31,891,1.53,11166762880.0
300131,英唐智控,BK1137,1360.22,98.7,20.21,97.14,1991.29,696,2.87,18296514098.0
688596,正帆科技,BK1137,146.29,98.7,17.23,32.59,190.87,1060,17.05,13062398523.0
688170,德龙激光,BK1137,466.41,98.7,30.62,84.21,566.46,1136,2.17,7999030400.0
002916,深南电路,BK1137,69.28,98.7,18.91,37.54,80.33,775,5.74,266240775322.0
300567,精测电子,BK1137,570.82,99.2,20.31,67.1,627.0,625,3.62,51537605948.0
301379,天山电子,BK1137,53.12,99.3,14.38,25.3,59.39,1315,-0.79,6632946184.0
688432,有研硅,BK1137,116.9,99.3,34.17,58.51,126.94,1306,13.27,27856725396.0
603688,石英股份,BK1137,267.89,99.5,2.9,45.66,294.0,731,5.39,38778748710.0
300455,航天智装,BK1137,198.3,99.7,35.31,65.47,203.58,673,0.32,15819605309.0
688403,汇成股份,BK1137,219.83,99.7,28.03,50.91,220.03,1390,5.87,23584328470.0
603938,XD三孚股,BK1137,216.71,99.9,10.49,33.96,216.71,817,0.25,20011261193.0
